requirement_id,source,owning_workstream,implementation_task,verification_task,qualifying_test,required_backend,expected_evidence,target_gate,current_baseline_status
BR-011,"work/irb_2_4.md §Q3.10`; `DEC-047`; Decision Register `DEC-017`, `DEC-018`, `DEC-026`, `DEC-027`; `BR-003`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-011.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-012,"work/irb_2_4.md §Q3.11`; `DEC-048`; Decision Register `DEC-023–DEC-025`; Prompt Master `IRB-3`, `IRB-17`.",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-012.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-013,"work/irb_2_4.md §Q4.2`; `DEC-051`; Context Pack §6.1.1; Decision Register `DEC-023`, `DEC-026`; `ARC-017`.",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/BR-013.json + raw-log hash,G6,DOCUMENTATION_ONLY
BR-014,"work/irb_2_4.md §Q4.8`; `DEC-057`; Context Pack `DEC-002`, `DEC-007`, `DEC-009`, `DEC-010`; `ARC-010–ARC-015`; Fonte B parti IV–VII; Decision Register `DEC-016–DEC-018`, `DEC-024`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-014.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-015,"Q17.1` / `DEC-186`; `DEC-017`, `DEC-018`, `DEC-023`; `BR-003",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/BR-015.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-016,Q17.7` / `DEC-192`; `DEC-026`; `BR-015`; Prompt Master `IRB-17,WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/BR-016.json + raw-log hash,G6,DOCUMENTATION_ONLY
BR-017,"Q17.7` / `DEC-192`; `DEC-024`, `DEC-025`; Prompt Master `IRB-17",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-017.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
BR-018,"Q17.7` / `DEC-192`; `DEC-025`; Prompt Master `IRB-11`, `IRB-13`, `IRB-17",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/BR-018.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-001,"work/irb_2_4.md §Q2.2`; `DEC-031`; Prompt Master `IRB-2`; Context Pack Fonte B §§32–45, 70–83, 96; `DEC-007`, `DEC-011`; `ARC-014–ARC-016`.",WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-001.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-002,"work/irb_2_4.md §Q2.3`; `DEC-032`; Context Pack `ARC-001`, `ARC-002`, `ARC-014`; Fonte B §§41, 81; `DEC-020`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-002.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-003,"work/irb_2_4.md §Q2.4`; `DEC-033`; Decision Register `DEC-018`, `DEC-026`, `DEC-027`; Context Pack `ARC-014`; Fonte B §81.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-003.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-004,"work/irb_2_4.md §Q2.5`; `DEC-034`; Context Pack `DEC-007`; `ARC-015`, `ARC-016`; Fonte B §§70–72, 83; Fonte D `agent-kernel`.",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-004.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-005,"work/irb_2_4.md §Q2.6`; `DEC-035`; Context Pack `ARC-001`, `ARC-010`, `ARC-011`; `DEC-012`; Fonte B §§47–51, 31.",WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-005.json + raw-log hash,G6,ABSENT
FR-006,"work/irb_2_4.md §Q2.7`; `DEC-036`; Context Pack `ARC-016`; Fonte B §§33, 35–42, 79; Decision Register `DEC-020`, `BR-005`.",WS-10,OCOR-DEV-0050,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-006.json + raw-log hash,G6,ABSENT
FR-007,"work/irb_2_4.md §Q3.3`; `DEC-040`; Context Pack `ARC-004`, `ARC-010`, `ARC-017`; Fonte B §§46–55, 91; `BR-002`; `EV-001`.",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-007.json + raw-log hash,G6,ABSENT
FR-008,"work/irb_2_4.md §Q3.4`; `DEC-041`; Context Pack §6.1.3; `DEC-010–DEC-012`; `ARC-011`, `ARC-014`; Decision Register `DEC-018`, `DEC-025`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-008.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-009,"work/irb_2_4.md §Q3.5`; `DEC-042`; Context Pack `DEC-009`; `ARC-012`, `ARC-013`; Fonte B §§61–69; `EV-001`.",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-009.json + raw-log hash,G6,ABSENT
FR-010,"work/irb_2_4.md §Q3.6`; `DEC-043`; Context Pack `DEC-007`; `ARC-015`; Fonte B §§70–83; Decision Register `DEC-017`, `DEC-018`.",WS-10,OCOR-DEV-0054,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-010.json + raw-log hash,G6,ABSENT
FR-011,"work/irb_2_4.md §Q3.7`; `DEC-044`; Context Pack `DEC-015`; `ARC-009`, `ARC-017`; Fonte B §§43, 51, 59, 81; `NFR-003`, `NFR-004`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-011.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-012,"work/irb_2_4.md §Q3.8`; `DEC-045`; Context Pack `ARC-010`; Fonte B §55; Decision Register `DEC-026`, `DEC-027`; `EV-005`.",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-012.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-013,"work/irb_2_4.md §Q3.9`; `DEC-046`; Decision Register `DEC-017`, `DEC-025`, `DEC-027`; `RSK-003`.",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-013.json + raw-log hash,G6,ABSENT
FR-014,"work/irb_2_4.md §Q4.1`; `DEC-050`; Context Pack v1.0 §6.1.1, Fonte A; `ARC-017`; baseline `PRB-2026-08-29`.",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-014.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-015,"work/irb_2_4.md §Q4.3`; `DEC-052`; Context Pack `DEC-001–DEC-004`, `DEC-008`; Decision Register `DEC-020`; Fonte A; `OOS-008`.",WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-015.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-016,"work/irb_2_4.md §Q4.4`; `DEC-053`; Context Pack `DEC-008`, `DEC-012`; `ARC-004`; Fonte B §§92–93; Decision Register `DEC-020`.",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-016.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-017,work/irb_2_4.md §Q4.4`; `DEC-053`; Context Pack §6.1.1; `ARC-017`; `OOS-009`.,WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-017.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-018,work/irb_2_4.md §Q4.5`; `DEC-054`; Context Pack Fonte A; Fonte B §§85–87; `ARC-017`; `OI-012`.,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-018.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-019,"work/irb_2_4.md §Q4.6`; `DEC-055`; Context Pack `DEC-012`; `ARC-002`, `ARC-009`; `OOS-010`.",WS-05,OCOR-DEV-0039,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-019.json + raw-log hash,G6,ABSENT
FR-020,"work/irb_2_4.md §Q4.7`; `DEC-056`; Context Pack Fonte A §§2–11 e §13; §6.1.1; Fonte B §§65, 88, 91–93; Prompt Master `IRB-4`, Matrice A.",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-020.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-021,"work/irb_2_4.md §Q4.9`; `DEC-058`; Context Pack `ARC-017`, §6.1.1; Prompt Master `IRB-4`.",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-021.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-022,"Context Pack §6.2; Prompt Master, Matrice B",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-022.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-023,Fonte B §§1.1–1.3; Context Pack §6.2,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-023.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-024,"Fonte B §§2–11; Context Pack §6.2, righe 1, 3, 5–17",WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-024.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-025,"ARC-004`; Fonte B §§6, 55 e 94; Context Pack §6.2, righe 4, 58 e 91",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-025.json + raw-log hash,G6,ABSENT
FR-026,"Fonte B §§12–16; `ARC-011`; Context Pack §6.2, righe 18–21",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-026.json + raw-log hash,G6,ABSENT
FR-027,"Fonte B §§11, 16, 23–24, 56–60 e 91; Context Pack §6.2, righe 16–17, 22, 28, 59–61 e 88",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-027.json + raw-log hash,G6,ABSENT
FR-028,"Fonte B §§46–49, 53–54 e 60; Context Pack §6.2, righe 50–53, 56–57 e 61",WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-028.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-029,"Fonte B §§50–52; Context Pack §6.2, righe 54–55; criterio architetturale Fonte B §106.7",WS-13,OCOR-DEV-0067,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-029.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-030,"Fonte B §§54–55; Context Pack §6.2, righe 57–58; Fonte B §106.8",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-030.json + raw-log hash,G6,ABSENT
FR-031,"Context Pack §6.1.3; Fonte B §§17–22, 26 e 29; `ARC-014`; Context Pack §6.2, righe 23–27, 30, 32, 34, 37, 52 e 89",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-031.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-032,"Fonte B §§27–31; Context Pack §6.2, righe 31–34",WS-07,OCOR-DEV-0044,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-032.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-033,"ARC-011`; Fonte B §§31, 43 e 81; Context Pack §6.2, righe 35, 47 e 78",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-033.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-034,"Fonte B §§61–64 e 69; `ARC-012`; Context Pack §6.2, righe 62–65 e 70",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-034.json + raw-log hash,G6,ABSENT
FR-035,"Fonte B §§65–68; `DEC-009`, `DEC-010`; `ARC-013`; Context Pack §6.2, righe 36 e 66–69",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-035.json + raw-log hash,G6,ABSENT
FR-036,"Fonte B §§73–75; Fonte C §3.4; Context Pack §6.2, righe 73–74",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-036.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-037,"Fonte B §§32–45 e 96; `ARC-015`, `ARC-016`; Context Pack §6.2, righe 38–49 e 93",WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-037.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-038,"Fonte B §§70–83; `DEC-007`; `ARC-015`; Context Pack §6.2, righe 71–80",WS-10,OCOR-DEV-0055,OCOR-DEV-0062,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-038.json + raw-log hash,G6,ABSENT
FR-039,"Fonte B §§84–97; Context Pack §6.2, righe 81–94; Prompt Master, Matrice B",WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-039.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-040,DEC-003`; `DEC-004`; Fonte C §§2.1–2.2; Fonte D §§D.3–D.4,WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-040.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-041,"Fonte B §§3, 85 e 96; Fonte C §2.3; Context Pack §6.2, righe 2, 82 e 93",WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-041.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-042,"Fonte B §89; Fonte C §§2.1, 2.2 e 2.5; Context Pack §6.2, riga 86",WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-042.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-043,Fonte C §2.4; Fonte D §§D.3–D.4; `ARC-005,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-043.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-044,"DEC-012`; Fonte C §2.4; Fonte D §D.4; Context Pack §6.2, riga 90",WS-02,OCOR-DEV-0032,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-044.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-045,"Fonte B §§86–88; Fonte C §2.5; Context Pack §6.2, righe 84–85",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-045.json + raw-log hash,G6,ABSENT
FR-046,"Context Pack §6.1.4; Fonte C §2.5; Fonte D, `OaCRelease operator`; `ARC-009",WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-046.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-047,DEC-007`; `DEC-008`; Fonte B §93; Fonte D §§D.3–D.5,WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-047.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-048,Fonte D §§D.3–D.5 e D.11,WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-048.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-049,Fonte B §85; Fonte C §2; Fonte D §D.3; proposta ratificata in Q6.8,WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-049.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-050,"Prompt Master, IRB-6; Fonte C §2.5",WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-050.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-051,"Fonte B §90; Fonte C §§2.5–2.6; `ARC-017`; Context Pack §6.2, righe 87 e 92",WS-02,OCOR-DEV-0033,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-051.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-052,"Prompt Master, IRB-6, “esperienza sviluppatore e toolchain locale/CI”",WS-09,OCOR-DEV-0047,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-052.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-053,"CP `ARC-007`,`ARC-010`; Fonte B §§47–55; `DEC-079",WS-10,OCOR-DEV-0058,OCOR-DEV-0061,FGM qualifying case plus requirement-specific negative fixture,real memory metadata/content/full-text/vector stack,reports/evidence/G6/FR-053.json + raw-log hash,G6,ABSENT
FR-054,Fonte B §§50–55; `DEC-079,WS-07,OCOR-DEV-0043,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-054.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-055,"DEC-008`,`DEC-012`; Fonte C §2.4; `DEC-080",WS-03,OCOR-DEV-0034,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-055.json + raw-log hash,G6,ABSENT
FR-056,"ARC-006`,`ARC-008`,`ARC-016`; Fonte D §D.5; `DEC-080",WS-09,OCOR-DEV-0046,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-056.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-057,"CP §6.1.5; `ARC-002`,`ARC-009`; `DEC-081",WS-04,OCOR-DEV-0036,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-057.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-058,Fonte A §8.1; Fonte B §23; `DEC-082,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-058.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-059,Fonte A §8.2; Fonte B §24; `ARC-014`; `DEC-082,WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-059.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-060,Fonte A §§8.3–8.7; Fonte B §25; `DEC-083,WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-060.json + raw-log hash,G6,ABSENT
FR-061,"ARC-010`,`ARC-011`; `DEC-083",WS-07,OCOR-DEV-0042,OCOR-DEV-0063,44-FSM positive/negative/durable-effect case,PostgreSQL + OPA/Keycloak + action adapter,reports/evidence/G6/FR-061.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-062,"ARC-007`,`ARC-014`; Fonte B §§29–31; `DEC-084",WS-04,OCOR-DEV-0036,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-062.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-063,Fonte B §28; `DEC-084,WS-01,OCOR-DEV-0009,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-063.json + raw-log hash,G6,PARTIALLY_IMPLEMENTED
FR-064,ARC-009`; Fonte C §1.4; `DEC-085,WS-06,OCOR-DEV-0041,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-064.json + raw-log hash,G6,ABSENT
FR-065,"ARC-005`,`ARC-006`,`ARC-009`; Fonte C §2.6; `DEC-085",WS-06,OCOR-DEV-0041,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-065.json + raw-log hash,G6,ABSENT
FR-066,"DEC-010`; `ARC-007`,`ARC-013`; Fonte B §88; `DEC-086",WS-08,OCOR-DEV-0045,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-066.json + raw-log hash,G6,ABSENT
FR-067,"DEC-010`; `ARC-007`,`ARC-014`; `DEC-086",WS-11,OCOR-DEV-0048,OCOR-DEV-0064,security and non-interference fault case,OPA/Keycloak/SPIFFE/OpenBao,reports/evidence/G6/FR-067.json + raw-log hash,G6,DOCUMENTATION_ONLY
FR-068,DEC-022`; `ARC-016`; Fonte B §§33–39; `DEC-087,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-068.json + raw-log hash,G6,ABSENT
FR-069,"Fonte B §§48,92,94; Fonte C §1.4; `DEC-089",WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-069.json + raw-log hash,G6,ABSENT
FR-070,DEC-012`; `ARC-007`; Fonte D §D.3; `DEC-089,WS-06,OCOR-DEV-0040,OCOR-DEV-0065,requirement-bound synthetic mission-thread case,selected real C1-C8 service stack,reports/evidence/G6/FR-070.json + raw-log hash,G6,ABSENT
